               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.026932,           0.0094155,          0.00035805,             0.89381,              0.9058,             0.89779,             0.40353,            0.043813,            0.013928,          0.00029943,            0.002278,            0.002278,            0.002278
                  80,            0.026428,           0.0098297,          0.00035959,             0.89333,             0.85479,             0.87057,             0.39818,            0.043566,            0.013933,          0.00027513,            0.002179,            0.002179,            0.002179
                  81,            0.026018,           0.0098542,          0.00039334,             0.90355,             0.88857,              0.8956,             0.40847,            0.043042,            0.014104,          0.00028809,             0.00208,             0.00208,             0.00208
                  82,            0.026014,           0.0090169,          0.00030085,             0.88983,             0.90205,             0.88164,             0.40539,            0.043414,            0.014119,          0.00028584,            0.001981,            0.001981,            0.001981
                  83,             0.02648,           0.0087029,          0.00036523,             0.90398,              0.9058,             0.89184,             0.40699,             0.04403,            0.014203,          0.00027416,            0.001882,            0.001882,            0.001882
                  84,            0.025228,           0.0095327,          0.00046742,             0.91023,             0.91179,             0.90671,             0.41079,            0.044079,            0.014262,          0.00028466,            0.001783,            0.001783,            0.001783
                  85,            0.024794,           0.0085063,          0.00030074,             0.92385,              0.9004,              0.9017,             0.41228,            0.043386,            0.014346,          0.00027207,            0.001684,            0.001684,            0.001684
                  86,            0.024381,            0.008934,          0.00030154,             0.90604,             0.90552,             0.88938,             0.41426,            0.043691,             0.01444,          0.00027174,            0.001585,            0.001585,            0.001585
                  87,            0.025623,           0.0087544,           0.0011861,             0.90077,              0.8982,             0.87885,             0.40169,            0.044344,            0.014499,          0.00028693,            0.001486,            0.001486,            0.001486
                  88,            0.025072,           0.0094683,          0.00070048,             0.89333,             0.87592,             0.85806,             0.39969,            0.044488,            0.014475,          0.00027887,            0.001387,            0.001387,            0.001387
                  89,            0.024682,           0.0090417,          0.00031434,             0.90035,             0.88248,             0.87464,             0.41027,             0.04394,             0.01437,          0.00025342,            0.001288,            0.001288,            0.001288
                  90,            0.023938,            0.009212,          0.00033066,              0.9098,             0.88688,             0.87548,             0.41009,              0.0439,            0.014413,          0.00023806,            0.001189,            0.001189,            0.001189
                  91,            0.024236,           0.0084978,          0.00031115,             0.90047,             0.87507,             0.87599,             0.40826,            0.043462,            0.014376,          0.00023207,             0.00109,             0.00109,             0.00109
                  92,             0.02472,           0.0084902,          0.00039807,             0.89209,             0.91633,             0.89346,              0.4104,            0.043308,            0.014407,          0.00023832,            0.000991,            0.000991,            0.000991
                  93,            0.023887,           0.0090275,          0.00034593,             0.90248,             0.88639,             0.88266,             0.40492,            0.043663,            0.014561,          0.00025113,            0.000892,            0.000892,            0.000892
                  94,            0.024131,           0.0084232,          0.00037272,             0.89936,             0.90566,             0.88807,             0.40493,            0.044327,            0.014695,          0.00023968,            0.000793,            0.000793,            0.000793
                  95,            0.024049,           0.0086946,          0.00026892,             0.89154,              0.8657,             0.86359,             0.40226,            0.044461,            0.014777,          0.00022093,            0.000694,            0.000694,            0.000694
                  96,            0.024407,           0.0089807,          0.00028126,             0.90598,             0.90444,             0.88947,             0.41718,            0.043779,            0.014668,           0.0002084,            0.000595,            0.000595,            0.000595
                  97,            0.023468,             0.00875,           0.0003946,             0.91594,             0.90393,             0.89599,             0.41888,            0.043582,            0.014549,          0.00020363,            0.000496,            0.000496,            0.000496
                  98,            0.023544,           0.0088431,          0.00041882,             0.91276,             0.89976,             0.89059,             0.41348,            0.043623,            0.014566,          0.00021744,            0.000397,            0.000397,            0.000397
                  99,            0.023098,           0.0086588,          0.00038713,             0.88857,              0.8958,             0.87565,             0.40497,            0.043381,             0.01465,          0.00022046,            0.000298,            0.000298,            0.000298
